codification,feature
GDS,Mes
GDS,Año
GDS,Estación
GDS,Miguel2
GDS,González2
GDS,Avenida2
GDS,Imperial2
GDS,A682
GDS,Caldera2
GDS,Copiapo2
GDS_R1,Mes
GDS_R1,Año
GDS_R1,Estación
GDS_R1,Miguel2
GDS_R1,González2
GDS_R1,Avenida2
GDS_R1,Imperial2
GDS_R1,A682
GDS_R1,Caldera2
GDS_R1,Copiapo2
GDS_R2,Mes
GDS_R2,Año
GDS_R2,Estación
GDS_R2,Miguel2
GDS_R2,González2
GDS_R2,Avenida2
GDS_R2,Imperial2
GDS_R2,A682
GDS_R2,Caldera2
GDS_R2,Copiapo2
GDS_R3,Mes
GDS_R3,Año
GDS_R3,Estación
GDS_R3,Miguel2
GDS_R3,González2
GDS_R3,Avenida2
GDS_R3,Imperial2
GDS_R3,A682
GDS_R3,Caldera2
GDS_R3,Copiapo2
GDS_R4,Mes
GDS_R4,Año
GDS_R4,Estación
GDS_R4,Miguel2
GDS_R4,González2
GDS_R4,Avenida2
GDS_R4,Imperial2
GDS_R4,A682
GDS_R4,Caldera2
GDS_R4,Copiapo2
GDS_R5,Mes
GDS_R5,Año
GDS_R5,Estación
GDS_R5,Miguel2
GDS_R5,González2
GDS_R5,Avenida2
GDS_R5,Imperial2
GDS_R5,A682
GDS_R5,Caldera2
GDS_R5,Copiapo2
